-73.9902573,40.7372894,3
-73.9436569,40.8205948,5
-74.0040894,40.7518272,2
-73.98703,40.7664909,1
-73.9976425,40.7217903,5
-73.9969406,40.725315,4
-73.9866943,40.7301483,2
-73.994072,40.7323074,4
-73.9711304,40.7553215,2
-73.8744431,40.7741089,5
-73.9862289,40.7305527,5
-73.9822311,40.7746391,6
-73.8634338,40.7690544,3
-74.008255,40.7228813,5
-73.982048,40.7781792,3
-74.0040894,40.7518272,2
-73.9727173,40.7535286,2
-73.9976425,40.7217903,5
-73.994278,40.7615318,2
-73.9975739,40.7208138,1
-73.9810181,40.7822609,6
-73.9752579,40.7643166,2
-73.874649,40.7741585,1
-73.98703,40.7664909,1
-73.987854,40.7379684,5
-73.9874649,40.7486267,4
-73.98703,40.7664909,1
-73.9822159,40.7652893,3
-73.9976425,40.7217903,5
-73.9781876,40.7730865,4
-73.9725113,40.7939911,5
-73.9727173,40.7535286,2
-74.0099106,40.7122688,6
-73.9822311,40.7746391,6
-73.9951706,40.7421875,2
-73.9975739,40.7208138,1
-73.9917297,40.7598686,4
-73.8744431,40.7741089,5
-73.9789352,40.7533493,3
-73.987854,40.7379684,5
