v,t,y,x
1,347218150,-74.26,40.904
1,347218150,-74.258,40.904
1,347218150,-74.258,40.906
1,347218450,-74.26,40.906
1,347218450,-74.258,40.906
1,347218450,-74.258,40.908
1,347218450,-74.26,40.908
1,347218150,-74.258,40.908
1,347218150,-74.258,40.91
1,347218150,-74.26,40.91
1,347218450,-74.26,40.91
1,347218450,-74.258,40.91
1,347218751,-74.258,40.91
1,347219051,-74.258,40.91
1,347219051,-74.258,40.908
1,347218751,-74.258,40.908
1,347218751,-74.26,40.908
1,347219051,-74.26,40.908
1,347219051,-74.26,40.91
1,347218751,-74.26,40.91
1,347219051,-74.26,40.902
1,347219051,-74.26,40.9
1,347219051,-74.258,40.9
1,347219051,-74.258,40.902
1,347218751,-74.258,40.902
1,347218751,-74.258,40.9
1,347218751,-74.26,40.9
1,347218751,-74.26,40.902
1,347218450,-74.26,40.902
1,347218450,-74.26,40.9
1,347218450,-74.258,40.9
1,347218150,-74.258,40.902
1,347218150,-74.258,40.9
1,347218150,-74.26,40.9
1,347218150,-74.26,40.902
1,347218150,-74.26,40.896
1,347218150,-74.26,40.898
1,347218150,-74.258,40.898
1,347218150,-74.258,40.896
1,347218450,-74.258,40.896
1,347218450,-74.258,40.898
1,347218450,-74.26,40.898
1,347218450,-74.26,40.896
1,347218751,-74.26,40.896
1,347218751,-74.26,40.898
1,347218751,-74.258,40.898
1,347218751,-74.258,40.896
1,347219051,-74.258,40.896
1,347219051,-74.258,40.898
1,347219051,-74.26,40.898
1,347219051,-74.26,40.896
1,347219652,-74.26,40.902
1,347219351,-74.26,40.902
1,347219351,-74.26,40.9
1,347219652,-74.26,40.9
1,347219652,-74.258,40.9
1,347219351,-74.258,40.9
1,347219351,-74.258,40.902
1,347219652,-74.258,40.902
1,347219952,-74.258,40.902
1,347219952,-74.26,40.902
1,347220252,-74.26,40.902
1,347220252,-74.258,40.902
1,347220252,-74.258,40.9
1,347220252,-74.26,40.9
1,347219952,-74.26,40.9
1,347219952,-74.258,40.9
1,347219952,-74.258,40.898
1,347219952,-74.26,40.898
1,347220252,-74.26,40.898
1,347220252,-74.258,40.898
1,347220252,-74.258,40.896
1,347220252,-74.26,40.896
1,347219952,-74.26,40.896
1,347219952,-74.258,40.896
1,347219652,-74.258,40.896
1,347219652,-74.258,40.898
1,347219652,-74.26,40.898
1,347219652,-74.26,40.896
1,347219351,-74.26,40.896
1,347219351,-74.26,40.898
1,347219351,-74.258,40.898
1,347219351,-74.258,40.896
1,347219351,-74.256,40.896
1,347219351,-74.254,40.896
1,347219652,-74.254,40.896
1,347219652,-74.256,40.896
1,347219652,-74.256,40.898
1,347219652,-74.254,40.898
1,347219351,-74.254,40.898
1,347219351,-74.256,40.898
1,347219351,-74.256,40.9
1,347219652,-74.256,40.9
1,347219652,-74.256,40.902
1,347219351,-74.256,40.902
1,347219351,-74.254,40.902
1,347219652,-74.254,40.902
1,347219652,-74.254,40.9
1,347219351,-74.254,40.9
1,347219351,-74.252,40.9
1,347219652,-74.252,40.9
1,347219652,-74.252,40.902
1,347219351,-74.252,40.902
1,347219351,-74.25,40.902
1,347219652,-74.25,40.902
1,347219652,-74.25,40.9
1,347219351,-74.25,40.9
1,347219351,-74.25,40.898
1,347219351,-74.25,40.896
1,347219351,-74.252,40.896
1,347219351,-74.252,40.898
1,347219652,-74.252,40.898
1,347219652,-74.252,40.896
1,347219652,-74.25,40.896
1,347219652,-74.25,40.898
1,347219952,-74.25,40.898
1,347219952,-74.25,40.896
1,347219952,-74.252,40.896
1,347219952,-74.252,40.898
1,347220252,-74.252,40.898
1,347220252,-74.252,40.896
1,347220252,-74.25,40.896
1,347220252,-74.25,40.898
1,347220252,-74.25,40.9
1,347219952,-74.25,40.9
1,347219952,-74.25,40.902
1,347220252,-74.25,40.902
1,347220252,-74.252,40.902
1,347219952,-74.252,40.902
1,347219952,-74.252,40.9
1,347220252,-74.252,40.9
1,347220252,-74.254,40.9
1,347219952,-74.254,40.9
1,347219952,-74.254,40.902
1,347220252,-74.254,40.902
1,347220252,-74.256,40.902
1,347219952,-74.256,40.902
1,347219952,-74.256,40.9
1,347220252,-74.256,40.9
1,347220252,-74.256,40.898
1,347220252,-74.254,40.898
1,347219952,-74.254,40.898
1,347219952,-74.256,40.898
1,347219952,-74.256,40.896
1,347219952,-74.254,40.896
1,347220252,-74.254,40.896
1,347220252,-74.256,40.896
1,347220553,-74.256,40.896
1,347220553,-74.254,40.896
1,347220853,-74.254,40.896
1,347220853,-74.256,40.896
1,347220853,-74.256,40.898
1,347220853,-74.254,40.898
